RPS_Number,StructureName,Description,StreetNumber,StreetAddress,Townland,NIAH_Ref,RMP_REF,Lat,Long
155,Church (in ruins) & Graveyard,Remains of large medieval church & graveyard which is still in use,,Main Street,Ballyboghill,11321001,DU007-01001 +-01002,53.5237633363648,-6.26993673847415
156,Enclosure Site,Earthwork,,Naul Road,Ballyboghill,,DU007-011,53.527201160453,-6.26682114146867
136,Mound site,Earthwork,,Ashgrove Road,Jordanstown,,DU007-012,53.5204856606291,-6.34757408386425
135,"Church (in ruins), Graveyard & Holy Well",Remains of medieval church in circular burial ground. Holy well is small pool to south,,Fieldstown to Garristown Road,Palmerstown,,DU007-01301 to -01303,53.511553420417,-6.3535163549978
150,Ringfort Site,Earthwork,,Drishoge Lane,Grange (Ballyboghil),,DU007-014,53.5203724511175,-6.27568942076994
322,Nunnery (in ruins),Remains of monastic site (Priory of St. Mary) and two Grave-slabs,,Ballyboghil Road,Gracedieu,,DU007-015,53.5094497199702,-6.22191219582711
321,Lady's Well & St. Bridget's Well,Site of Holy Wells (2) & Mound. Associated with Gracedieu Nunnery,,Ballyboghil Road,Gracedieu,,DU007-01503 to 01505,53.510311176931,-6.21980212389405
323,St. Bridget's Well,Holy Well in a field.,,off Baldurgan Lane,Baldurgan,,DU007-016,53.5026413206154,-6.250595109846
324,Mound,Earthwork,,Naul Road,Belinstown/Skidoo,,DU007-017,53.4992554857758,-6.26616146089509
157,Ring Barrows,Group of three ring barrows (burial mounds),,Ballyboghil to Devines Cross Road,Broomfield,,DU007-026,53.5276300895277,-6.25023942036639
488,Enclosure,Earthwork,,"Batter Lane, off N1 Road",Belinstown,,DU007-036,53.4927879297039,-6.21109557718506
308,Castle site,Archaeological site,,Lusk to Skerries Road,Collinstown,,DU008-001,53.5436884755,-6.16279983851162
307,Enclosure Site,Earthwork,,Lusk to Skerries Road,Collinstown,,DU008-002,53.5417068155836,-6.16321469264588
254,Castle (in ruins),Remains of tower house,,Skerries Road,Rush Demesne,,DU008-003,53.5389725008585,-6.09419016133277
256,Church (in ruins) & Graveyard,Church (in ruins) in graveyard enclosure,,Skerries Road,Rush Demesne,11324029,DU008-00401+-00402,53.5382353531075,-6.09252512114311
257,St. Catherines Well,Holy Well,,Skerries Road,Rush Demesne,,DU008-005,53.5381441743768,-6.09338549961027
252,Promontory Fort,Archaeological site,,off Skerries Road,Drumanagh,,DU008-00601,53.5414829917796,-6.08250372304545
253,Martello Tower,19th century circular military stone martello tower,,off Skerries Road,Drumanagh,11318004,DU008-00603,53.5403285085684,-6.07794572555286
305,Mound,Earthwork,,Quickpenny Lane,Regles (Lusk),,DU008-008,53.5313467914001,-6.17494470633833
304,Site of Monastic Complex,Covered by greenhouses to rear of buildings on The Green,,The Green,Regles (Lusk),,DU008-01002,53.528896699559,-6.17149217135524
298,Tower of St. Macculin's C of I Church,Medieval Church Tower (incl early Christian Round Tower & effigal tombs),,Church Road,Lusk,11323010,DU008-01003,53.5262302716759,-6.16724806111862
297,Community Centre Former St. Macculin's C of I Church,Converted 19th century church structure & Graveyard,,Church Road,Lusk,11323010,DU008-01005,53.5261284893875,-6.16685097885245
291,Enclosure,Earthwork,,,Effelstown,,DU008-011,53.5236303848614,-6.14203878668054
276,Windmill (in ruins),A stabilised ruin in open mounded green in middle of Rush,,Chapel Green,Rush,11324016,DU008-012--,53.5213022077696,-6.10445545081926
259,Passage Tomb & Cist,Stone burial sites,,off Skerries Road,Rush,,DU008-01301 +-01302,53.5328120905623,-6.08529725941538
274,Well,Well at ford,,Farren's Lane,Rush,,DU008-014,53.5245756674957,-6.09665456229231
265,Martello Tower,19th century circular military stone martello tower,,Tower Street,Rush,11324023,DU008-015--,53.521125453409,-6.07599091402007
319,Earthwork,Earthwork,,,Newtowncorduff,,DU008-016,53.5168298140154,-6.20303475733289
316,St. Catherine's Well,Holy Well 'site of',,,Staffordstown,,DU008-017,53.5155867515199,-6.17444983018512
317,Bridetree Wells,Site of Holy Well,,,Bridtree,,DU008-018,53.5143566948953,-6.17279246460452
318,Mound & Long Cist,Earthwork,,,Balleally West,,DU008-01901,53.5124889515192,-6.17105643630794
281,St. Maur's Well,Holy Well.,,Spout Road,Whitestown (Rush),,DU008-020,53.5173215364292,-6.12475355609253
279,St. Maur's Church (in ruins),Church (in ruins) & Graveyard,,Whitestown Road,Whitestown (Rush),11324015,DU008-02101 +-02102,53.5174333232996,-6.12155059036573
275,Tobar Caillin Holy Well,Holy Well,,Bawn Road,Rush,,DU008-022,53.5181098975169,-6.08825533915732
320,Burial,Earthwork,,,Coldwinters,,DU008-023,53.5003322408978,-6.19300066511447
492,Turvey House,Site of demolished late 17th century house,,Turvey Avenue,Turvey,11329004,DU008-02401,53.4948566253201,-6.1739338370958
517,Harbour possible,Archaeological site,,Beaverstown Rod,Beaverstown (Donabate),,DU008-026,53.5001766308151,-6.14359973631109
516,Beaverstown Viaduct,Eleven-arched railway viaduct over estuary,,Rogerstown Estuary,Beaverstown (Donabate),,DU008-026,53.5019753059435,-6.14902839240066
518,Windmill (in ruins),Remains of base of circular stone windmill,,off Beaverstown Road,Rahillion (Donabate),,DU008-027,53.4979001069643,-6.13785771731137
519,Chapel site,Archaeological site,,Burrow Lane,Burrow Portraine,,DU008-028,53.5003494495926,-6.12117451727849
520,St. Machubd's Well,Holy Well - Now in rear garden of recently renovated house,,Burrow Lane,Burrow Portraine,,DU008-029,53.4991629902862,-6.12034253298508
521,Stella's Tower (Portraine Castle in ruins),Remains of medieval stone structure,,,Portraine,,DU008-030--,53.4952398298247,-6.11511010439155
522,St. Catherine's Church (in ruins),"Ecclesiastical Remains, Church, Graveyard & Bullaun",,Portane Village,Portraine,,DU008-03101 to -03103,53.4939823723362,-6.11193919926815
541,Burial,Archaeological site,,Quay Road,Quay (Portraine),,DU008-032,53.4929381267784,-6.10361344009696
285,Cist,"In grounds of Knockdromin House, cist is a burial of stone slabs",,Rush to Lusk Road,Beau,,DU008-035,53.5187921673106,-6.13797983648253
515,Beaverstown House,"House, Barn, Out-offices & Yard",,Beaverstown Road,Beaverstown (Donabate),11329010,DU008-044,53.4936120660139,-6.1454092891586
783,Earthwork Possible,Earthwork,,,Lambay Island,,DU009-001,53.4920412801935,-6.0151332296147
775,Lambay Castle,"House comprising Castle, Out-Offices, Memorial, Walled Garden, Rampart Walls & Gates",,,Lambay Island,,DU009-00105 +-00106,53.4916709332418,-6.02518080179351
782,Chapel & Enclosure,Small chapel enclosed by hedge and wooden gate to the south of The White House,,,Lambay Island,,DU009-00108 +-00109,53.49263007018,-6.02753657880053
779,Real Tennis Court,Early 20th century enclosed tennis court,,,Lambay Island,,DU009-00110,53.4909595499154,-6.0172129430091
780,Knockbane Cairn & OS Marker,Ordnance Survey Triangulation Station marker on Knockbane Cairn,,,Lambay Island,,DU009-00112,53.4933623303263,-6.01618633293609
781,Promontory Fort,"Headland protected by triple rampart, known as Garden Fort",,,Lambay Island,,DU009-00113,53.4953925141658,-6.02352171744362
777,Coastguard Cottages & Enclosed Courtyard,Six coastguard cottages,,,Lambay Island,,DU009-00115,53.4921399689132,-6.02881666111698
328,Ringfort,Earthwork,,Fieldstown to Swords Road,Newbarn,,DU011-001,53.4902749618552,-6.32527375128664
326,St. Catherine's Church,Ecclesiastical Remains,,Fieldstown to Oldtown Road,Fieldstown,,DU011-00201 + -00202,53.4918490995065,-6.31934241099698
327,St. Catherine's Well,Holy Well,,Fieldstown to Oldtown Road,Fieldstown,,DU011-00204,53.4915132963699,-6.31723770566623
329,Mound,Earthwork,,Fieldstown to Swords Road,Newbarn,,DU011-004,53.4897900733323,-6.3198419889157
335,Killossery Church (in ruins),"Ecclesiastical remains, church, font, graveyard & enclosure",,Rowlestown Village,Killossery,11327005,DU011-00501 to -00503,53.4885057158312,-6.3044928504394
650,Ruins of Mountstuart House,Remains of house & dwellings site (low earthworks),,,Mountstuart,,DU011-00601 + -00602,53.478082485847,-6.29473566332519
659,Ringfort (Rath/Cashel),"Platform type ringfort (46m in diameter), surrounded by deep ditch",,,Dunmucky,,DU011-008,53.4672166145291,-6.3509757821427
656,Kilsallaghan Cross,Site of cross,,,Kilsallaghan,,DU011-010,53.4743967330366,-6.31964092555569
653,Saint David's Church (C of I),"Church of Ireland church, plus site of earlier church & Graveyard",,Fieldstown Road,Castlefarm,11333001,DU011-011,53.4764348579229,-6.31807577630487
654,Kilsallaghan Castle,Remains of castle ruins,,Fieldstown Road,Castlefarm,,DU011-01104,53.4758765735047,-6.31820691360092
655,Kilsallaghan Motte,Earthwork mound,,Fieldstown Road,Castlefarm,,DU011-01106,53.4751918851743,-6.31828949932464
649,Settlement deserted,Earthwork,,,Surgalstown South,,DU011-012,53.4682412141501,-6.30633674095268
648,Mound site,Earthwork,,off Leas Road,Surgalstown South,,DU011-013,53.4659912374344,-6.29358937675058
338,Rathbeale Hall,Main house plus outbuildings & gatelodges (x2),,Rathbeale Road,Rathbeal (Swords),11334001,DU011-014,53.4725588046067,-6.26682655474239
377,Dwelling Site,Earthwork,,off Rathbeale Road,Rathbeal,,DU011-015,53.4664401664276,-6.26412681390646
378,Fortifications possible,Earthwork,,off Rathbeale Road,Rathbeal (Swords),,DU011-016,53.4669307005425,-6.26187452084903
370,Glasmore Abbey & St. Cronan's Well,Abbey and Well. Church in ruins.  Fenced off in open space of Lioscian housing estate,,"Lioscian Estate, St. Cronan's Ave",Mooretown (Swords),,"DU011-018, DU011-019",53.4645019796413,-6.24263199217827
644,Freedagh Mound,Motte possible,,off Fieldstown to Skephubble Rd,Corrstown,,DU011-020,53.4624412147897,-6.31538365860838
642,Enclosure(s),Earthwork,,,Newpark,,DU011-021,53.4533351050129,-6.31987549616992
641,Chapelmidway Church,Church (ruins) in graveyard enclosure. Graveyard still in use,,off Fieldstown to Skephubble Rd,Corrstown,,DU011-02201,53.4555803977842,-6.31046530333558
640,Enclosure & graveyard,Earthwork,,,Common,,DU011-02301 + -02302,53.4503942197184,-6.30860060820016
638,Fulacht Fiadh possible,"Earthwork, Fulacht Fiadh denotes cooking place.",,"St. Margaret's Golf Club, Toburburr Road",Toberburr,,DU011-024,53.4506963042615,-6.29640088699156
635,Ringfort (Rath/Cashel),Earthwork,,Killeek Lane,Killeek,,DU011-025,53.4495922454767,-6.28736427794582
365,Motte,Large man-made mound at edge of ravine on north bank of River Ward,,Brackenstown Road,Brazil (Swords),,DU011-027,53.4581127490179,-6.26665838451525
367,Knocksedan Bridge,Large single arch stone bridge over river with footpaths at each side,,Naul Road,Knocksedan/Brazil,11342001,DU011-028,53.4573906237903,-6.26686707706085
368,Mound,Earthwork,,Naul Road,Knocksedan,,DU011-029,53.4566233097901,-6.26789421103873
633,Killeek Chuch & graveyard,"Ecclesiastical Remains, graveyard still in use",,Killeek Lane,Killeek,11342010,DU011-031,53.4533558563049,-6.27849274707153
375,Cemetery,Old graveyard,,Naul Road,Brackenstown,,DU011-032,53.4496149810071,-6.25846142390705
351,Swords Castle,"Remains of Episcopial Manor, terminates north end of Main St. Set in town park",,Main Street,Townparks (Swords),,DU011-03401,53.4599695941473,-6.22056526338198
360,St. Columba's Church of Ireland Church,"19th century church plus ecclesiastical remains, Round Tower, Graveyard, Whetstone, Cross, Sheela-na-gig",,Church Road,Swords Glebe (Swords),11343007,DU011-03402 to 03411,53.4572412976943,-6.22458863859442
355,Earthwork Unclassified,Earthwork,,Seatown Road,Seatown West (Swords),,DU011-036,53.4620613306034,-6.21268092999663
661,Church Well,Holy Well in field adjoining Ward Lower Church,,Ward Road,Ward Lower,,DU011-038,53.4415319564333,-6.35053679222582
660,Church & Graveyard (in ruins),Church in ruins,,Ward Road,Ward Lower,,DU011-03901 + -03902,53.4422021076662,-6.3494391417115
637,Mound,Earthwork,,Shallon Road,Shallon,,DU011-040,53.4466861338521,-6.31213635845534
632,Ringfort site,Earthwork situated on elevated positions.,,Killeek Lane,Killeek,,DU011-041,53.4465094629758,-6.27501372556006
630,Chapel site & burial ground,Ecclesiastical remains,,Killeck Lane,Forrest Great,,DU011-04201,53.4461060882469,-6.26710253153334
629,Ringfort site,Earthwork,,Naul Road,Forrest Great,,DU011-043,53.4392375069029,-6.26493692074426
631,Dwelling,Earthwork,,Cooks Road,Forrest Great,,DU011-044,53.4404817268462,-6.25824954801663
371,St. Werburgh's Well,Holy Well - A small well enclosed by a low stone wall in a wet drain,,"Airside Business Park, Lakeshore Drive",Crowcastle (Swords),,DU011-045,53.4498353815826,-6.21637335477298
610,Ringfort site,Earthwork site,,Naul Road,Cloghran (Swords),,DU011-046,53.4352986796353,-6.23554998378185
356,St. Columcille's Church,"Catholic Church, font, graveyard",,Chapel Lane,Swords Demense,11343010,DU011-070,53.4580094112502,-6.21722975035945
341,Lissenhall Bridge,Stone bridge over Broadmeadow River,,Estuary Road,Lissenhall (Swords),11335019,DU011-081,53.4711449863162,-6.21237784326924
340,Balheary Bridge,Stone bridge over Broadmeadow River,,River Ward Park,Balheary (Swords),11335018,DU011-081,53.470149848441,-6.21272303320172
791,Roganstown Bridge,Historic five-arch stone bridge,,Naul Road,Roganstown (Swords),11327003,DU011-082,53.4884347534163,-6.27044695153475
487,Castle site & Enclosure,Archaeological complex possibly including Belinstown Castle,,"Batter Lane, off N1 Road",Belinstown,,DU012-001,53.4890599333261,-6.20774158497584
486,Ringfort possible site,Earthwork,,N1 Road,Lissenhall Little,,DU012-002,53.485574976056,-6.20057469875612
485,Ring-ditch,Earthwork,,off N1 Road,Lissenhall Little (Swords),,DU012-003,53.4838367402968,-6.20519441971893
493,Lanestown Castle (in ruins),Remains of square tower house,,Grounds of Newbridge House,Newbridge Demesne,,DU012-004,53.483081037157,-6.1780995719862
508,St. Patrick's Church of Ireland Church,"18th century Church, remains of square pre-1700 tower, memorial slab & graveyard",,The Square,Donabate,11336013,DU012-005--,53.4856612280722,-6.15442458366101
497,Ringfort possible site,Earthwork,,off Portrane Road,Lanestown,,DU012-006,53.4781312324036,-6.17090544164587
540,Chink Well,A well in a cave on the seashore which is covered by high tide,,in grounds of St. Ita's Hospital,Quay (Portrane),,DU012-007,53.4857825520388,-6.10209240948221
543,Martello Tower,19th century circular military stone martello tower,,Balcarrick Road,Balcarrick (Donabate),11337001,DU012-008--,53.4783248331518,-6.11535884094303
538,Church & St. Kenny's Well,Site of Church & Holy Well,,in grounds of St. Ita's Hospital,Portraine Demesne,,DU012-00901 +-00902,53.4838186697076,-6.10845006459552
542,"""Tower House""",Former Martello Tower adapted to residental use,,Quay Road,Quay (Portrane),,DU012-010,53.4899922197229,-6.09690802672977
484,Church (in ruins) & Graveyard,"Oval raised area enclosed by wall, rectangular sunken area indicates site of church",,Ballymadrough Road,Ballymadrough,,DU012-01301 +-01302,53.4736197011457,-6.1838133229036
496,Motte possible,Mound in field to west of Kilcrea Road,,off Kilcrea Road,Ballymadrough,,DU012-014,53.4779744059026,-6.17392242632651
343,Ringfort site possible,Earthwork,,,Lissenhall Great,,DU012-015,53.4695633953191,-6.20507948621483
499,Church (in ruins) & Graveyard,Remains of small single chamber church,,Kilcrea Road,Kilcrea,,DU012-01601,53.4755269654061,-6.16703333259088
498,Ringfort possible site,Earthwork,,Kilcrea Road,Kilcrea,,DU012-017,53.4774154008104,-6.16455667222619
501,Tidal Mill Possible,Stone remains of mill marked on Rocque map of 1756,,off Kilcrea Road,Kilcrea,,DU012-018,53.4741003721851,-6.15908981520813
503,Earthwork site,Earthwork,,Corballis Road,Corballis,,DU012-019,53.4767594327487,-6.14672241873133
504,Corballis House,House & Outoffice & site of Castle,,Corballis Road,Corballis (Donabate),,DU012-020,53.4739361047073,-6.14101888777061
379,Seatown House,"House, out-offices and tower house/castle remains, over looking Malahide Estuary",,Estuary Road,Seatown East (Swords),,DU012-021,53.4621047335636,-6.1966557102963
