REG_NO,RATING,NUMBER,NAME,STREET1,STREET2,TOWN,COUNTY,TOWNLAND,BUILDINGTYPE,DATEFROM,DATETO,COMPOSITION,APPRAISAL,LINK_WEBRECORD,LINK_WEBIMAGE,LONG,LAT
11358017,Regional,,Sutton Railway Station,,,Sutton,Dublin,BURROW (CO. BY.) HOWTH ED,signal box,1860,1900,"Detached single-bay two-storey signal box, c.1880, with timber superstructure on red brick plinth.  Now disused.ROOF: Double pitched slate roof; carved timber brackets; tall red brick chimney. WALLS: Red brick, English garden wall bond with recessed pan",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11358017,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11358017_1.jpg,-6.11734378052693,53.3919459755447
11358018,Regional,,Eskeragh,Burrow Road,,Sutton,Dublin,BURROW (CO. BY.) HOWTH ED,house,1910,1930,"Detached four-bay single-storey red brick house with dormer attic, c.1920, with single-storey box window to west having balcony above.  Veranda to rear elevation.  Outbuilding to east.ROOF: Double-pitched clay tiles; red clay ridge tiles; red brick chim",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11358018,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11358018_1.jpg,-6.10188693778851,53.3920066491195
11358019,Regional,,Caramore,Burrow Road,,Sutton,Dublin,BURROW (CO. BY.) HOWTH ED,house,1870,1910,"Detached three-bay two-storey house, c.1890, with central projecting entrance porch and two-storey bay window to left-hand side.  Single-bay single-storey extension to west gable, c.1925.ROOF: Double pitched slate roof. Flat-roof to porch and canted bay",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11358019,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11358019_1.jpg,-6.09927540855006,53.3919111622165
11358020,Regional,25,,Burrow Road,,Sutton,Dublin,BURROW (CO. BY.) HOWTH ED,house,1860,1900,"Detached three-bay two-storey house with horizontal bands of alternating brick and stone, c.1880.  Gabled central entrance bay and return to rear.ROOF: T-shaped plan double pitched slate roof with granite coping; brick chimney stacks; timber barge board",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11358020,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11358020_1.jpg,-6.09850885878246,53.3919079358887
11358021,Regional,,Howth Lodge Hotel,Howth Road,,Howth,Dublin,HOWTH DEMESNE,hotel,1840,1860,"Detached multiple-bay two-storey hotel, c.1850, with three-stage tower having dormer attic.  Extended several times to north.",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11358021,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11358021_1.jpg,-6.08478066153657,53.3913019763878
11358022,Regional,,,Howth Road,,Howth,Dublin,QUARRY,house,1850,1870,"Detached three-bay single-storey house, c.1860, with bipartite window openings to right side elevation.  Extended to front and rear, c.1960, comprising flat-roofed projecting porch and single-bay single-storey flat-roofed extension.  Re-roofed, c.1990.  S",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11358022,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11358022_1.jpg,-6.08460101145832,53.3906161297366
11358024,Regional,,The Manse,Howth Road,,Howth,Dublin,HOWTH DEMESNE,manse,1895,1925,"Detached three-bay two storey Tudor Gothic style manse, c.1910.  Single-storey projecting porch, flanked by chimney breast to left-hand-side, and bay window with pair of gabled dormers above to right-hand side.  Two-bay two-storey return to rear.ROOF: D",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11358024,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11358024_1.jpg,-6.08588916804436,53.3903851813042
11358025,Regional,,Howth Presbyterian Church,Howth Road,,Howth,Dublin,HOWTH DEMESNE,church/chapel,1895,1905,"Detached Gothic style Presbyterian church, built 1898, with castellated three-stage tower to north.  Transepts to southern end and Tudor style entrance porch to east elevation.",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11358025,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11358025_1.jpg,-6.08626794075784,53.3903193656372
11358026,Regional,,Saint Mary's Church of Ireland Church,Howth Road,,Howth,Dublin,HOWTH DEMESNE,church/chapel,1860,1870,"Detached Gothic style gable-fronted Church of Ireland church, built 1866.  Five-bay side elevations to nave, with projecting side aisles.  Four-stage tower with spire to north-west corner, and single-bay chancel to east.  Hall attached perpendicular to so",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11358026,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11358026_1.jpg,-6.07884240122509,53.388303921456
11358027,Regional,,Howth Castle,,,Howth,Dublin,HOWTH DEMESNE,demesne walls/gates/railings,1820,1850,"Entrance gateway, c.1835, comprising four Hindu Gothic style limestone ashlar piers with friezes and moulded cappings, flanked by pedestrian gateways.  Cast-iron gates and railings.  Secondary gateway to rear with cast-iron bollards.WALLS: Limestone ash",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11358027,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11358027_1.jpg,-6.0803899178221,53.3879873454459
11358033,Regional,,Old Saint Fintan's Private Graveyard and Church,Carrickbrack Road,,Sutton,Dublin,SUTTON SOUTH,graveyard/cemetery,1880,1900,"Private graveyard of Bellingham family, c.1890, with pair of cut stone grave markers set behind cast-iron railings. Set adjacent to rubble granite single-cell medieval church, with bellcote over gable, now in ruins.",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11358033,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11358033_1.jpg,-6.09156856261983,53.3776885589895
11358034,Regional,,Saint Fintan's Cemetery,Carrickbrack Road,,Sutton,Dublin,SUTTON SOUTH,graveyard/cemetery,1900,1920,"Cemetery, with various cut stone grave markers  from c.1910 to present. Rubble granite and limestone boundary with castellated coping; gravel path around plots.",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11358034,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11358034_1.jpg,-6.09097937175456,53.3770860326493
11358037,Regional,,,Strand Road,,Baldoyle,Dublin,STAPOLIN,house,1860,1900,"Detached three-bay single-storey thatched house, c.1880.  Single-bay single-storey flat-roofed extension to rear, c.1950.ROOF: Double-pitched; straw thatched; decorative hazel rod pinning; concrete coping; red brick chimney stacks; flat-roof to return; ",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11358037,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11358037_1.jpg,-6.12861976444063,53.3997976315383
11358038,Regional,,Saints Peter and Paul's Roman Catholic Church,Strand Road,,Baldoyle,Dublin,BALDOYLE,church/chapel,1820,1840,"Detached gable-fronted cruciform plan Roman Catholic church, c.1830, with transepts to eastern end of nave, and bellcote to west gable.  Cut granite dressings including architraves to blind aedicules, full-height pilasters and pediment to gable.  Sacristy",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11358038,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11358038_1.jpg,-6.1270467541042,53.3989821612988
11358039,Regional,,Sisters of Charity Convent,Main Street,,Baldoyle,Dublin,BALDOYLE,convent/nunnery,1820,1860,"Detached six-bay two-storey convent, c.1840, with three bays gabled to northern end, and return to rear.  Three-bay single-storey extension to north gable, c.1920.  Part of a larger convent and hospital complex.ROOF: Double-pitched slates; concrete ridg",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11358039,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11358039_1.jpg,-6.12768610052516,53.3988034822902
11358040,Regional,,Baldoyle Library,Strand Road,,Baldoyle,Dublin,BALDOYLE,house,1870,1890,"Semi-detached six-bay two-storey former house, c.1880, retaining original fenestration, single-bay two-storey return to rear.  Single-bay single-storey projecting porch, c.1920.  Now in use as library.ROOF: Double-pitched; gable-fronted to return; concr",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11358040,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11358040_1.jpg,-6.12578766723374,53.3968416296438
11358041,Regional,,Saint Mary's Monastery,The Mall,,Baldoyle,Dublin,BALDOYLE,convent/nunnery,1910,1915,"Complex of convent buildings, built 1913, comprising seven-bay two-storey building with projecting gable-fronted central and terminating bays.  Multiple-bay two-storey building attached perpendicular to west gable, linked to eight-bay two-storey building ",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11358041,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11358041_1.jpg,-6.12858214707115,53.3962025269169
11358042,Regional,,Sisters of Charity Convent,Main Street,,Baldoyle,Dublin,BALDOYLE,convent/nunnery,1870,1890,"Detached ten-bay two-storey convent, c.1880, with gabled entrance bay and returns to rear.  Single-storey extensions and outbuildings to west.  Chapel with polygonal apse, c.1900, attached to north gable.  Hospital complex attached to west.ROOF: Double ",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11358042,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11358042_1.jpg,-6.32916690822024,53.3910016983757
11358043,Regional,,,Parochial Avenue,,Baldoyle,Dublin,BALDOYLE,house,1830,1850,"Detached five-bay two-storey over part-raised basement former house, c.1840, with central projecting entrance porch.  Single-bay two-storey return to rear.  Re-roofed and renovated to rear, c.1990.  Now in use as offices.ROOF: Double-pitched, hipped to ",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11358043,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11358043_1.jpg,-6.12782914294199,53.397943042543
11358044,Regional,4,Aisling House,Strand Road,,Sutton,Dublin,SUTTON NORTH,house,1935,1940,"Detached International style six-bay two-storey house, 1936, with flat roof, balcony and projecting end bay.  Flanked by single-storey garages.",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11358044,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11358044_1.jpg,-6.10078869100812,53.3829129702284
11358045,Regional,,,Strand Road,,Sutton,Dublin,SUTTON NORTH,coastguard station,1800,1830,"Terrace of four three-bay two-storey former coastguard keeper's houses, built c.1815.    Five-bay two-storey house c.1850 attached to south gable.ROOF: M-profile; slate; newly rendered chimney; octagonal terracotta chimney pots; terracotta ridge tiles. ",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11358045,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11358045_1.jpg,-6.10223267434868,53.3801861236115
11358046,Regional,151,Innishowen,Dublin Road,,,Dublin,BURROW (CO. BY.) HOWTH ED,house,1880,1930,"Detached three-bay two-storey house with dormer attic, c.1910, having corner turrets and timber porch canopy.ROOF: Hipped roof; turreted roofs to bow projections; slate terracotta roof ridge tiles; tall brick chimney stacks with stepped cornice; central",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11358046,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11358046_1.jpg,-6.32916690822024,53.3910016983757
11358047,Regional,,,Dublin Road,,,Dublin,BURROW (CO. BY.) HOWTH ED,milestone/milepost,1825,1875,"Cast-iron milestone, c.1850, set in a granite surround, with a benchmark.  Inscription reads ' P.O/Dublin/7/Howth/2'.",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11358047,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11358047_1.jpg,-6.12318683501353,53.3886411940257
11358048,Regional,,,Strand Road,,Baldoyle,Dublin,BALDOYLE,post box,1920,1940,"Freestanding cast-iron post box, c.1930, with raised lettering.",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11358048,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11358048_1.jpg,-6.12645990158371,53.397966485556
11358049,Regional,,Baldoyle National School,Brookstone Road,,Baldoyle,Dublin,BALDOYLE,school,1930,1950,"Detached multiple-bay single-storey school, c.1940.  Comprising nine-bay central block with hipped roof.  Multiple-bay single-storey flat-roofed block attached to front elevation.ROOF: Double pitched hipped roof with slates and concrete ridge tiles; cas",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11358049,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11358049_1.jpg,-6.1334627845567,53.3966743612951
11358050,National,,Howth Castle,Howth Demesne,,Howth,Dublin,HOWTH DEMESNE,castle/fortified house,1350,1450,"Attached three-bay three-storey rubble stone medieval tower house, c.1400, with base batter and crenellated parapet.  Single-bay five-storey crenellated entrance turret on a square plan to centre.  Renovated c.1825.  Renovated and refenestrated c.1910.R",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11358050,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11358050_1.jpg,-6.07868860546138,53.3860458654994
11358052,National,,Howth Castle,Howth Demesne,,Howth,Dublin,HOWTH DEMESNE,castle/fortified house,1800,1850,"Attached six-bay two-storey wing, c.1825, with decorative stepped battlemented parapet having corner machicolation to north-east.  Renovated 1910 with some openings remodelled to first floor to accommodate use as private chapel. ROOF:Double pitched slat",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11358052,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11358052_1.jpg,-6.07894475985553,53.3860320166213
11358053,National,,Howth Castle,Howth Demesne,,Howth,Dublin,HOWTH DEMESNE,castle/fortified house,1350,1450,"Attached three-bay four-storey medieval tower house, c.1400, with base batter and crow stepped crenellated parapet.  Single-bay five-storey crenellated corner turret on a square plan to south west.  Renovated and openings remodelled, 1738.  Re-rendered c.",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11358053,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11358053_1.jpg,-6.07924840149261,53.385965014083
11358054,National,,Howth Castle,Howth Demesne,,Howth,Dublin,HOWTH DEMESNE,castle/fortified house,1600,1700,"Attached six-bay two-storey over basement late-medieval house, c.1650.  Comprising four-bay two-storey central block flanked by single-bay five-storey square plan crenellated turrets.  Renovated 1738, with openings remodelled and terrace added.  Renovated",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11358054,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11358054_1.jpg,-6.07934909454531,53.3860654853713
11358055,National,,Howth Castle,Howth Demesne,,Howth,Dublin,HOWTH DEMESNE,castle/fortified house,1905,1915,"Attached three-bay two-storey wing, over basement and with dormer attic, built 1910.  Incorporating fabric of earlier structures, 1738 and c.1840.  Single-bay two-storey linking bay to south-east.ROOF: Double pitched slate set behind crenellated parapet",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11358055,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11358055_1.jpg,-6.07965031043113,53.3860523601158
11358056,National,,Howth Castle,Howth Demesne,,Howth,Dublin,HOWTH DEMESNE,castle/fortified house,1905,1910,"Attached three-bay two-storey library block, built 1910 in tower house form, with basement and dormer attic.  Square plan corner turrets to south-west and north-east facades.  Incorporating fabric of earlier structures, 1738 and c.1840.ROOF: Double-pitc",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11358056,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11358056_1.jpg,-6.07986342551623,53.3859928850511
11358057,National,,Howth Castle,Howth Demesne,,Howth,Dublin,HOWTH DEMESNE,castle/fortified house,1500,1550,"Attached four-bay three-storey medieval tower house with dormer attic, c.1525, with turret attached to north-east.  Renovated c.1650.  Renovated and openings remodelled, 1738.  Renovated with dormer attic added, 1910.",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11358057,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11358057_1.jpg,-6.07920460878137,53.3862698457077
11302001,National,,Knocknagin House,,,,Dublin,KNOCKNAGIN,country house,1670,1690,"Detached three-bay two-storey house with attic storey, c.1680, flanked by two- and three-bay single-storey wings.  Advanced gable-fronted central entrance bay to entrance façade.  Single-bay three-storey return with adjoining single-bay two-storey lean-to",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11302001,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11302001_1.jpg,-6.21678764253526,53.6305871484458
11302002,Regional,,,,,,Dublin,KNOCKNAGIN,gate lodge,1730,1770,"Detached four-bay single-storey thatched gate lodge with attic-storey, c.1750.  Single-bay single-storey lean-to extension, c.1999, to south-west gable.ROOF: Thatched hipped; decorative ridging corrugated iron lean- roof;  single dashed chimney stack; W",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11302002,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11302002_1.jpg,-6.21561763375069,53.6321601991624
11303001,Regional,,Coolfore's Bridge,,,,Dublin,COOLFORES,bridge,1840,1860,"Single-arch rubble stone road bridge, c.1850.",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11303001,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11303001_1.jpg,-6.32916690822024,53.3910016983757
11303002,Regional,,Whitestown House,,,,Dublin,WHITESTOWN (BA. E BY.) BALSCADDAN ED,gate lodge,1840,1860,"Detached three-bay single-storey gate lodge, c.1850, retaining original fenestration.  Lean-to extension to rear. ROOF: Hipped; slate; rendered stacks. WALLS: Roughcast render; painted. OPENINGS: Square headed; rendered reveals; stone cills; original 3/",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11303002,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11303002_1.jpg,-6.32916690822024,53.3910016983757
11304001,Regional,,Balbriggan Railway Bridge,,,Balbriggan,Dublin,BREMORE,bridge,1840,1860,"Single-arch railway bridge, c.1850 Rock faced granite voussoirs and pillars &  parapet walls with plain metal railings. Depressed arch opening, with rock faced granite soffit.",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11304001,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11304001_1.jpg,-6.19060117718934,53.6196984670453
11304003,Regional,,Bremore Cottage,Drogheda Road,,Balbriggan,Dublin,BREMORE,house,1835,1855,"Detached eight-bay single-storey thatched house, c.1845, with projecting entrance porch.  Now in ruined condition.  Reputed to be one of the longest thatched houses in Ireland.  ROOF:Non existant as it burned down during a fire in 1996. Castiron comb ridg",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11304003,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11304003_1.jpg,-6.19427797804526,53.6167707037687
11304004,Regional,,,Hamlet Lane,,Balbriggan,Dublin,BREMORE,water pump,1890,1900,"Cast-iron water pump, c.1895, now missing parts. Insignia 'John Collins / Shop Street / Drogheda",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11304004,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11304004_1.jpg,-6.19955355995044,53.6139028484687
