No,Location,Code,No Spaces,Exact Location,Installed,Tarriff,Nearest PandDs Same zone,Hours of Operation,Clr-Way,Clearway Hrs,Comment,Further Information,Finished,Comment 1,Zone,Located,geometry,geometry 1,geometry 2,Longitude,Latitude
51,Kenilworth Square East,6,84 P n D / DP,At Park,09/05/2002,€ 1.60,4 At Kenilworth Square,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Green,Y,"<Point><coordinates>-6.274578,53.318284</coordinates></Point>","-6.274578,53.318284</coordinates></Point>","-6.274578,53.318284",-6.274578,53.318284
54,St. Joseph's Parade,7,16 P n D / DP,Off Dorset Street Lower,09/05/2002,€ 2.40,Eccles St 409,Mon-Sat 07.00-24.00,FALSE,,,,FALSE,,Red,Y,"<Point><coordinates>-6.26616,53.357323</coordinates></Point>","-6.26616,53.357323</coordinates></Point>","-6.26616,53.357323",-6.26616,53.357323
55,St. Brigid's Road (Artane),5,,Outside No. 48 St Brigid's Road,,€ 0.60,,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Blue,y,"<Point><coordinates>-6.205195,53.381897</coordinates></Point>","-6.205195,53.381897</coordinates></Point>","-6.205195,53.381897",-6.205195,53.381897
56,St. Brigid's Road Lower,9,40 P n D / DP,At Whitworth Rd Junction,23/04/2002,€ 1.60,St. Patrick's Road 632,Mon-Sun 07.00-24.00,FALSE,,,,FALSE,,Green,Y,"<Point><coordinates>-6.262521,53.362598</coordinates></Point>","-6.262521,53.362598</coordinates></Point>","-6.262521,53.362598",-6.262521,53.362598
57,Collin's Avenue East,5,22 P n D,Opposite Number 66,22/04/2002,€ 1.00,Kilbride Rd 145,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Orange,Y,"<Point><coordinates>-6.210015,53.373046</coordinates></Point>","-6.210015,53.373046</coordinates></Point>","-6.210015,53.373046",-6.210015,53.373046
64,Fairview Avenue Upper,3,27 P n D,At Green,,€ 1.00,Fairview Ave Lwr 466,Mon-Fri 08.00-18.30,FALSE,,,,FALSE,,Orange,Y,"<Point><coordinates>-6.235049,53.365338</coordinates></Point>","-6.235049,53.365338</coordinates></Point>","-6.235049,53.365338",-6.235049,53.365338
66,Bellevue (Coach Parking),8,,Guinness Brewery,,€ 1.60,Grand Canal Place 8,COACHES ONLY 24 HRS,FALSE,,,,FALSE,,Green,Y,"<Point><coordinates>-6.286043,53.341605</coordinates></Point>","-6.286043,53.341605</coordinates></Point>","-6.286043,53.341605",-6.286043,53.341605
70,Larch Grove,6,8 P n D / DP,Off Sandford Road,17/04/2002,€ 2.40,None Nearby,Mon-Sat 07.00-24.00,FALSE,,,,FALSE,,Red,Y,"<Point><coordinates>-6.246402,53.321642</coordinates></Point>","-6.246402,53.321642</coordinates></Point>","-6.246402,53.321642",-6.246402,53.321642
71,Dartry Road,6,28 P n D / DP,At Dodder Walk,16/04/2002,€ 1.00,None Nearby,Mon-Sun 07.00-21.00,FALSE,,,,FALSE,,Orange,Y,"<Point><coordinates>-6.259641,53.308441</coordinates></Point>","-6.259641,53.308441</coordinates></Point>","-6.259641,53.308441",-6.259641,53.308441
73,Ardagh Road,12,38 P n D / DP,Off Crumlin Road,16/04/2002,€ 1.00,None Nearby,Mon-Sat 07.00-24.00,FALSE,,,,FALSE,,Orange,Y,"<Point><coordinates>-6.303208,53.328784</coordinates></Point>","-6.303208,53.328784</coordinates></Point>","-6.303208,53.328784",-6.303208,53.328784
74,Bow Lane West,8,26 P n D / DP,Opposite Number 4  n  East of Bow Bridge,,€ 1.00,None Nearby,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Orange,Y,"<Point><coordinates>-6.295594,53.342812</coordinates></Point>","-6.295594,53.342812</coordinates></Point>","-6.295594,53.342812",-6.295594,53.342812
75,Langrishe Place,1,22 P n D / DP,Off Summerhill,17/04/2002,€ 2.40,None Nearby,Mon-Sun 07.00-24.00,FALSE,,,,FALSE,,Red,Y,"<Point><coordinates>-6.256001,53.354698</coordinates></Point>","-6.256001,53.354698</coordinates></Point>","-6.256001,53.354698",-6.256001,53.354698
76,Sandymount Avenue,4,43 P n D / DP (Total),At Number 53,15/04/2002,€ 1.00,None Nearby,Mon-Fri 08.00-18.30,FALSE,,,,FALSE,,Orange,Y,"<Point><coordinates>-6.218488,53.329228</coordinates></Point>","-6.218488,53.329228</coordinates></Point>","-6.218488,53.329228",-6.218488,53.329228
109,Emmet Road,8,155 P n D / DP (Total),No 10,,€ 1.00,Emmet Rd 154,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Orange,Y,"<Point><coordinates>-6.308426,53.340543</coordinates></Point>","-6.308426,53.340543</coordinates></Point>","-6.308426,53.340543",-6.308426,53.340543
127,Grattan Crescent,8,23 P n D (Total),Opposite Park,,€ 1.00,Grattan Crescent 663,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Orange,Y,"<Point><coordinates>-6.320149,53.34092</coordinates></Point>","-6.320149,53.34092</coordinates></Point>","-6.320149,53.34092",-6.320149,53.34092
128,Annadale Avenue,3,27 P n D / DP,Off Phillipsburgh Avenue,,€ 1.00,None Nearby,Mon-Sat 07.00-24.00,FALSE,,,,FALSE,,Orange,Y,"<Point><coordinates>-6.240134,53.36671</coordinates></Point>","-6.240134,53.36671</coordinates></Point>","-6.240134,53.36671",-6.240134,53.36671
134,Victoria Quay,8,10 P n D,West Of Watling Street Bridge,,€ 1.60,None Nearby,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Green,Y,"<Point><coordinates>-6.2854,53.346504</coordinates></Point>","-6.2854,53.346504</coordinates></Point>","-6.2854,53.346504",-6.2854,53.346504
135,Parkgate Street,8,13 P n D + 3 DP (Total),Opposite Cowan's Motors,,€ 1.00,Parkgate St 113,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Orange,Y,"<Point><coordinates>-6.293873,53.348005</coordinates></Point>","-6.293873,53.348005</coordinates></Point>","-6.293873,53.348005",-6.293873,53.348005
139,Hatch Street Lower,2,49 P n D + 3 DP (Total),No 25,,€ 2.90,5 On Hatch St Lwr,Mon-Sat 07.00-19.00,FALSE,,,S.Side West of Leeson St,TRUE,,Yellow,Y,"<Point><coordinates>-6.256714,53.333858</coordinates></Point>","-6.256714,53.333858</coordinates></Point>","-6.256714,53.333858",-6.256714,53.333858
144,Royal Canal Bank,7,58 P n D / DP,At Number 1,,€ 1.60,None Nearby,Mon-Sun 07.00-24.00,FALSE,,,,FALSE,,Green,Y,"<Point><coordinates>-6.271167,53.361286</coordinates></Point>","-6.271167,53.361286</coordinates></Point>","-6.271167,53.361286",-6.271167,53.361286
154,Emmet Road,8,155 P n D / DP (Total),No 13 / West of N'side SCR,11/12/1998,€ 1.00,Emmet Rd 109,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Orange,Y,"<Point><coordinates>-6.309926,53.340684</coordinates></Point>","-6.309926,53.340684</coordinates></Point>","-6.309926,53.340684",-6.309926,53.340684
155,Killester Avenue,5,17 P n D / DP,At Number 44,,€ 1.00,None Nearby,Mon-Fri 08.00-18.30,FALSE,,,,FALSE,,Orange,Y,"<Point><coordinates>-6.209511,53.375277</coordinates></Point>","-6.209511,53.375277</coordinates></Point>","-6.209511,53.375277",-6.209511,53.375277
158,Iona Road,9,14 P n D / DP,Junction Of Botanic Road,,€ 1.60,Lindsay Rd 7,Mon-Sat 07.00-24.00,FALSE,,,,FALSE,,Green,Y,"<Point><coordinates>-6.270772,53.36671</coordinates></Point>","-6.270772,53.36671</coordinates></Point>","-6.270772,53.36671",-6.270772,53.36671
161,Frankfort Avenue,6,96 P n D / DP,At Number 75,,€ 1.00,Leicester Ave 738,Mon-Sat 07.00-24.00,FALSE,,,,FALSE,,Orange,Y,"<Point><coordinates>-6.268938,53.316567</coordinates></Point>","-6.268938,53.316567</coordinates></Point>","-6.268938,53.316567",-6.268938,53.316567
162,Victoria Road,6,67 P n D / DP,Junction of Zion Road,,€ 1.00,Herzog Pk 21,Mon-Fri 08.00-18.30,FALSE,,,,FALSE,,Orange,Y,"<Point><coordinates>-6.274149,53.309066</coordinates></Point>","-6.274149,53.309066</coordinates></Point>","-6.274149,53.309066",-6.274149,53.309066
163,Brunswick Street North,7,24 P n D / DP (Total),At Boys' School,,€ 2.40,Brunswick St N 641,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Red,Y,"<Point><coordinates>-6.27901,53.350482</coordinates></Point>","-6.27901,53.350482</coordinates></Point>","-6.27901,53.350482",-6.27901,53.350482
165,St. Agnes' Road,12,19 P n D,At Car Park Opposite AIB Crumlin,25/04/2002,€ 1.00,None Nearby,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Orange,Y,"<Point><coordinates>-6.316975,53.316525</coordinates></Point>","-6.316975,53.316525</coordinates></Point>","-6.316975,53.316525",-6.316975,53.316525
181,Wellington Road,4,126 P n D / DP (Total),No 1A,,€ 2.90,4 On Pembroke Rd,Mon-Fri 08.00-18.30,FALSE,,Mon - Fri,,TRUE,,Yellow,Y,"<Point><coordinates>-6.240824,53.331698</coordinates></Point>","-6.240824,53.331698</coordinates></Point>","-6.240824,53.331698",-6.240824,53.331698
226,Burlington Road,4,144 P n D / DP (Total),Ark Life Assurance,,€ 2.90,5 On Burlington Rd,Mon-Fri 08.00-18.30,FALSE,,,,TRUE,,Yellow,Y,"<Point><coordinates>-6.245628,53.331631</coordinates></Point>","-6.245628,53.331631</coordinates></Point>","-6.245628,53.331631",-6.245628,53.331631
228,Charlemont Mall,2,70 P n D / DP (Total),At Light-Stand 12,17/04/2001,€ 2.40,Charlemont Mall Charlemont Mall 126 (€2.90),Mon-Fri  08.00-18.30,FALSE,,,replaced met.668  03/03/2010,TRUE,,Red,Y,"<Point><coordinates>-6.263337,53.330308</coordinates></Point>","-6.263337,53.330308</coordinates></Point>","-6.263337,53.330308",-6.263337,53.330308
233,Arran Street East,7,5 P n D + 12 DP,Opposite Number 3,,€ 2.90,5 On Ormond Quay Upr,Mon-Sat 07.00-19.00,FALSE,,,W.Side = south of Ormond Square,TRUE,,Yellow,Y,"<Point><coordinates>-6.270049,53.346285</coordinates></Point>","-6.270049,53.346285</coordinates></Point>","-6.270049,53.346285",-6.270049,53.346285
235,Harcourt Terrace,2,33 P n D / DP,Opposite Number 19,,€ 2.90,6 On Adelaide Road,Mon-Sat 07.00-19.00,FALSE,,DP Mon-Sat,W.Side = South of Adelaide Rd,TRUE,,Yellow,Y,"<Point><coordinates>-6.257816,53.332036</coordinates></Point>","-6.257816,53.332036</coordinates></Point>","-6.257816,53.332036",-6.257816,53.332036
244,Emmet Road,8,155 P n D / DP (Total),East of S'side St Vincent Street,,€ 1.00,Emmet Rd 652,Mon-Sat 07.00-19.00,FALSE,,P n D Mon - Fri,,TRUE,,Orange,Y,"<Point><coordinates>-6.318334,53.339719</coordinates></Point>","-6.318334,53.339719</coordinates></Point>","-6.318334,53.339719",-6.318334,53.339719
248,Pembroke Road,4,103 P n D / DP (Total),Number 78-80,,€ 2.90,4 On Pembroke Rd,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Yellow,Y,"<Point><coordinates>-6.238533,53.332462</coordinates></Point>","-6.238533,53.332462</coordinates></Point>","-6.238533,53.332462",-6.238533,53.332462
272,St. Mary's Place North,7,14 P n D (Total),At Christian Brothers' School,,€ 2.40,St. Mary's Place Nth 273,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Red,Y,"<Point><coordinates>-6.267273,53.354436</coordinates></Point>","-6.267273,53.354436</coordinates></Point>","-6.267273,53.354436",-6.267273,53.354436
273,St. Mary's Place North,7,14 P n D (Total),At Flats,,€ 2.40,St. Mary's Place Nth 272,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Red,Y,"<Point><coordinates>-6.267424,53.354311</coordinates></Point>","-6.267424,53.354311</coordinates></Point>","-6.267424,53.354311",-6.267424,53.354311
298,Marlborough Road,4,64 P n D / DP,No 90,,€ 2.40,None Nearby,Mon-Fri 08.00-18.30,FALSE,,,,TRUE,,Red,Y,"<Point><coordinates>-6.245535,53.322739</coordinates></Point>","-6.245535,53.322739</coordinates></Point>","-6.245535,53.322739",-6.245535,53.322739
304,St. Mary's Road South,4,108 P n D / DP (Total),Junction Of Northumberland Road,,€ 2.90,St. Mary's Rd Sth 329,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Yellow,Y,"<Point><coordinates>-6.23725,53.334617</coordinates></Point>","-6.23725,53.334617</coordinates></Point>","-6.23725,53.334617",-6.23725,53.334617
306,Clontarf Road,3,29 P n D / DP (Total),At Number 10,,€ 1.00,None Nearby,Mon-Fri 07.00-24.00,FALSE,,,,TRUE,,Orange,Y,"<Point><coordinates>-6.224005,53.363649</coordinates></Point>","-6.224005,53.363649</coordinates></Point>","-6.224005,53.363649",-6.224005,53.363649
316,Longwood Avenue,2,71 P n D / DP,Junction Of South Circular Road,,€ 2.40,3 On Clanbrassil St,Mon-Sat 07.00-24.00,FALSE,,,,TRUE,,Red,Y,"<Point><coordinates>-6.273481,53.331978</coordinates></Point>","-6.273481,53.331978</coordinates></Point>","-6.273481,53.331978",-6.273481,53.331978
318,Kenilworth Square North,6,76 P n D / DP,Opposite Number 88A,,€ 1.60,4 At Kenilworth Square,Mon-Fri 08.00-18.30,FALSE,,,,FALSE,,Green,Y,"<Point><coordinates>-6.274855,53.319699</coordinates></Point>","-6.274855,53.319699</coordinates></Point>","-6.274855,53.319699",-6.274855,53.319699
324,Richmond Street South,2,8 P n D + 4 DP,Opposite Number 59 (AIB),,€ 2.40,3 On Lennox Street,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Red,Y,"<Point><coordinates>-6.264671,53.332239</coordinates></Point>","-6.264671,53.332239</coordinates></Point>","-6.264671,53.332239",-6.264671,53.332239
326,Wesley Road,6,30 P n D / DP,At Post Office,,€ 1.00,Rathgar Rd 166,Mon-Sun 07.00-24.00,FALSE,,,,TRUE,,Orange,Y,"<Point><coordinates>-6.273077,53.313642</coordinates></Point>","-6.273077,53.313642</coordinates></Point>","-6.273077,53.313642",-6.273077,53.313642
335,Watling Street,8,18 P n D,At Emmet Buildings,,€ 2.40,None Nearby,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Red,Y,"<Point><coordinates>-6.284886,53.344366</coordinates></Point>","-6.284886,53.344366</coordinates></Point>","-6.284886,53.344366",-6.284886,53.344366
336,Milltown Road,6,,Opposite No. 38,,€ 1.00,None Nearby,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Orange,Y,"<Point><coordinates>-6.255824,53.308346</coordinates></Point>","-6.255824,53.308346</coordinates></Point>","-6.255824,53.308346",-6.255824,53.308346
338,Castlewood Terrace,6,15 P n D / DP,At Number 12,,€ 2.40,None Nearby,Mon-Sun 07.00-24.00,FALSE,,,,FALSE,,Red,Y,"<Point><coordinates>-6.263004,53.323426</coordinates></Point>","-6.263004,53.323426</coordinates></Point>","-6.263004,53.323426",-6.263004,53.323426
352,High Street,8,9 P n D,At Church,19/04/1999,€ 2.90,Cook St 231,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Yellow,Y,"<Point><coordinates>-6.273371,53.343296</coordinates></Point>","-6.273371,53.343296</coordinates></Point>","-6.273371,53.343296",-6.273371,53.343296
353,Amiens Street,1,58 P n D (Total),Local Employment Centre,19/04/1999,€ 2.40,6 On Amiens Street,Mon-Sat 07.00-19.00,TRUE,,,,TRUE,,Red,Y,"<Point><coordinates>-6.248149,53.3535</coordinates></Point>","-6.248149,53.3535</coordinates></Point>","-6.248149,53.3535",-6.248149,53.3535
354,Amiens Street,1,58 P n D (Total),Corner of Preston St,19/04/1999,€ 2.40,6 On Amiens Street,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Red,Y,"<Point><coordinates>-6.248047,53.353279</coordinates></Point>","-6.248047,53.353279</coordinates></Point>","-6.248047,53.353279",-6.248047,53.353279
355,Amiens Street,1,58 P n D (Total),Near Number 85,19/04/1999,€ 2.40,6 On Amiens Street,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Red,Y,"<Point><coordinates>-6.247186,53.354068</coordinates></Point>","-6.247186,53.354068</coordinates></Point>","-6.247186,53.354068",-6.247186,53.354068
356,Amiens Street,1,58 P n D (Total),No 3,19/04/1999,€ 2.40,6 On Amiens Street,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Red,Y,"<Point><coordinates>-6.247249,53.354342</coordinates></Point>","-6.247249,53.354342</coordinates></Point>","-6.247249,53.354342",-6.247249,53.354342
362,Francis Street,8,43 P n D + 26 DP (Total),No 32,19/04/1999,€ 2.90,6 On Francis St,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Yellow,Y,"<Point><coordinates>-6.274926,53.341698</coordinates></Point>","-6.274926,53.341698</coordinates></Point>","-6.274926,53.341698",-6.274926,53.341698
363,Francis Street,8,43 P n D + 26 DP (Total),Opposite Viking Lodge Pub,19/04/1999,€ 2.90,6 On Francis St,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Yellow,Y,"<Point><coordinates>-6.275097,53.34159</coordinates></Point>","-6.275097,53.34159</coordinates></Point>","-6.275097,53.34159",-6.275097,53.34159
364,Francis Street,8,43 P n D + 26 DP (Total),No 104,19/04/1999,€ 2.90,6 On Francis St,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Yellow,Y,"<Point><coordinates>-6.274594,53.340868</coordinates></Point>","-6.274594,53.340868</coordinates></Point>","-6.274594,53.340868",-6.274594,53.340868
365,Francis Street,8,43 P n D + 26 DP (Total),No 54,19/04/1999,€ 2.90,6 On Francis St,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Yellow,Y,"<Point><coordinates>-6.274332,53.340752</coordinates></Point>","-6.274332,53.340752</coordinates></Point>","-6.274332,53.340752",-6.274332,53.340752
366,Francis Street,8,43 P n D + 26 DP (Total),No 64,19/04/1999,€ 2.90,6 On Francis St,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Yellow,Y,"<Point><coordinates>-6.273701,53.339684</coordinates></Point>","-6.273701,53.339684</coordinates></Point>","-6.273701,53.339684",-6.273701,53.339684
368,Brookvale Road (Donnybrook),4,16 P n D / DP,Off Eglinton Road,,€ 2.40,Eglinton Rd 454,Mon-Fri 08.00-18.30,FALSE,,,,FALSE,,Red,Y,"<Point><coordinates>-6.233815,53.318385</coordinates></Point>","-6.233815,53.318385</coordinates></Point>","-6.233815,53.318385",-6.233815,53.318385
370,Merrion Road,4,17 P n D / DP,At Sony Centre / Ballsbridge Park Junction,27/04/1999,€ 2.40,Anglesea Road 288,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Yellow,Y,"<Point><coordinates>-6.23012,53.328837</coordinates></Point>","-6.23012,53.328837</coordinates></Point>","-6.23012,53.328837",-6.23012,53.328837
384,South Lotts Road,4,63 P n D / DP (Total),Opp no 33,,€ 2.40,3 On South Lotts Rd,Mon-Sat 07.00-24.00,FALSE,,,,TRUE,,Red,Y,"<Point><coordinates>-6.233186,53.338579</coordinates></Point>","-6.233186,53.338579</coordinates></Point>","-6.233186,53.338579",-6.233186,53.338579
385,Nutley Avenue,4,160 P n D / DP,Corner of Nutley Lane,,€ 1.60,Nutley Lane 471,Mon-Fri 08.00-18.30,FALSE,,,,TRUE,,Green,Y,"<Point><coordinates>-6.216111,53.318152</coordinates></Point>","-6.216111,53.318152</coordinates></Point>","-6.216111,53.318152",-6.216111,53.318152
391,Serpentine Avenue,4,60 P n D / DP (Total),Opposite no 15,,€ 2.40,Serpentine Ave 845,Mon-Fri 07.00-19.00,FALSE,,,,TRUE,,Red,Y,"<Point><coordinates>-6.226018,53.328678</coordinates></Point>","-6.226018,53.328678</coordinates></Point>","-6.226018,53.328678",-6.226018,53.328678
403,Sandymount Village,4,46 P n D / DP (Total),At Seafort Avenue,,€ 1.00,6 In Sandymount Village,Mon-Sat 07.00-24.00,FALSE,,,Weast side =North of Sandymount road,TRUE,,Orange,Y,"<Point><coordinates>-6.215282,53.332721</coordinates></Point>","-6.215282,53.332721</coordinates></Point>","-6.215282,53.332721",-6.215282,53.332721
404,Sandymount Village,4,46 P n D / DP (Total),At the Green / Takeaway,,€ 1.00,6 In Sandymount Village,Mon-Sat 07.00-19.00,FALSE,,,North side =east of seafort ave,TRUE,,Orange,Y,"<Point><coordinates>-6.214858,53.332124</coordinates></Point>","-6.214858,53.332124</coordinates></Point>","-6.214858,53.332124",-6.214858,53.332124
405,Sandymount Village,4,46 P n D / DP (Total),At the Green / No 14,,€ 1.00,6 In Sandymount Village,Mon-Sat 07.00-19.00,FALSE,,,south side =east of nut grove gardens,TRUE,,Orange,Y,"<Point><coordinates>-6.214833,53.331655</coordinates></Point>","-6.214833,53.331655</coordinates></Point>","-6.214833,53.331655",-6.214833,53.331655
407,Sandymount Village,4,46 P n D / DP (Total),At Sandymount Road / No 85 / Xtra Vision,,€ 1.00,6 In Sandymount Village,Mon-Sat 07.00-19.00,FALSE,,,West side =South of marine drive,TRUE,,Orange,Y,"<Point><coordinates>-6.216436,53.333074</coordinates></Point>","-6.216436,53.333074</coordinates></Point>","-6.216436,53.333074",-6.216436,53.333074
408,Sandymount Village,4,46 P n D / DP (Total),At Sandymount Road / Post office,,€ 1.00,6 In Sandymount Village,Mon-Sat 07.00-19.00,FALSE,,,East side =South of Marine Drive,TRUE,,Orange,Y,"<Point><coordinates>-6.216173,53.333043</coordinates></Point>","-6.216173,53.333043</coordinates></Point>","-6.216173,53.333043",-6.216173,53.333043
426,St. Ignatius' Road,7,112 P n D / DP,Near corner of Drumcondra Rd,,€ 1.60,Drumcondra Rd Lwr 848,Mon-Fri 08.00-18.30,FALSE,,,,TRUE,,Green,Y,"<Point><coordinates>-6.260493,53.361194</coordinates></Point>","-6.260493,53.361194</coordinates></Point>","-6.260493,53.361194",-6.260493,53.361194
454,Eglinton Road,4,80 P n D / DP (Total),At Number 30,15/04/2002,€ 2.40,Brookvale Road 368,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Red,Y,"<Point><coordinates>-6.237891,53.318393</coordinates></Point>","-6.237891,53.318393</coordinates></Point>","-6.237891,53.318393",-6.237891,53.318393
